,title,genre,studio,number_of_episodes,release_date,content_type,viewer_reviews,source,year
1031,PSYCHO-PASS: The Movie,"Action, Sci-Fi",Production I.G,1,2015-01-01,Movie,75.0,AniList,2015.0
1035,BELLE,"Drama, Music, Mystery, Sci-Fi",Studio Chizu,1,2021-07-01,Movie,73.0,AniList,2021.0
1050,the Garden of sinners Chapter 2: …and nothing heart. (Murder Speculation Part A),"Action, Mystery, Romance, Supernatural, Thriller",ufotable,1,2007-12-01,Movie,75.0,AniList,2007.0
1052,Flavors of Youth,"Drama, Romance, Slice of Life",Haoliners Animation,3,2018-08-01,Movie,69.0,AniList,2018.0
1057,Death Billiards,"Drama, Mystery, Psychological, Thriller",MADHOUSE,1,2013-03-01,Movie,77.0,AniList,2013.0
1063,High School of the Dead: Drifters of the Dead,"Comedy, Ecchi, Supernatural",MADHOUSE,1,2011-04-01,Ova,62.0,AniList,2011.0
1068,"Clannad: Another World, Tomoyo Chapter","Drama, Romance, Slice of Life",Kyoto Animation,1,2008-07-01,Ova,77.0,AniList,2008.0
1077,Hunter x Hunter: Phantom Rouge,"Action, Adventure, Fantasy",MADHOUSE,1,2013-01-01,Movie,71.0,AniList,2013.0
1081,In This Corner of the World,"Drama, Slice of Life",MAPPA,1,2016-11-01,Movie,81.0,AniList,2016.0
1087,The Labyrinth of Grisaia,"Drama, Ecchi, Romance",8-bit,1,2015-04-01,Special,76.0,AniList,2015.0
1096,Millennium Actress,"Drama, Fantasy, Romance",MADHOUSE,1,2002-09-01,Movie,81.0,AniList,2002.0
1098,"the Garden of sinners Chapter 3: ever cry, never life. (Remaining Sense of Pain)","Action, Drama, Mystery, Supernatural, Thriller",ufotable,1,2008-02-01,Movie,77.0,AniList,2008.0
1101,Rascal Does Not Dream of a Sister Venturing Out,"Drama, Psychological, Supernatural",CloverWorks,1,2023-06-01,Movie,79.0,AniList,2023.0
1102,One Piece Film: Z,"Action, Adventure, Comedy, Drama",Toei Animation,1,2012-12-01,Movie,79.0,AniList,2012.0
1106,Kill la Kill: GOODBYE AGAIN,"Action, Comedy, Ecchi",TRIGGER,1,2014-09-01,Ova,75.0,AniList,2014.0
1107,the Garden of sinners Chapter 5: Paradox Paradigm,"Action, Drama, Mystery, Romance, Supernatural, Thriller",ufotable,1,2008-08-01,Movie,84.0,AniList,2008.0
1109,From Up on Poppy Hill,"Drama, Romance, Slice of Life",Studio Ghibli,1,2011-07-01,Movie,75.0,AniList,2011.0
1120,Angel's Egg,"Drama, Fantasy, Psychological",Studio Gallop,1,1985-12-01,Ova,76.0,AniList,1985.0
1126,Pokémon: The First Movie,"Action, Adventure, Drama, Fantasy, Sci-Fi",TV Tokyo,1,1998-07-01,Movie,74.0,AniList,1998.0
1128,Charlotte: Strong People,"Comedy, Drama, Supernatural",P.A.WORKS,1,2016-03-01,Ova,73.0,AniList,2016.0
1134,Neon Genesis Evangelion: Death & Rebirth,"Drama, Mecha, Psychological, Sci-Fi",Gainax,1,1997-03-01,Movie,73.0,AniList,1997.0
1140,TONIKAWA: Over The Moon For You ~SNS~,"Comedy, Romance, Slice of Life",Seven Arcs,1,2021-08-01,Ova,79.0,AniList,2021.0
1151,Tokyo Ghoul: [JACK],"Drama, Horror, Supernatural",Studio Pierrot,1,2015-09-01,Ova,70.0,AniList,2015.0
1161,One Piece: Stampede,"Action, Adventure, Comedy, Drama, Fantasy",Toei Animation,1,2019-08-01,Movie,80.0,AniList,2019.0
1173,the Garden of sinners Chapter 4: garan-no-dou. (The Hollow Shrine),"Action, Mystery, Supernatural, Thriller",ufotable,1,2008-05-01,Movie,75.0,AniList,2008.0
1184,Saekano the Movie: Finale,"Comedy, Romance, Slice of Life",CloverWorks,1,2019-10-01,Movie,83.0,AniList,2019.0
1186,Dragon Ball Z: Resurrection 'F',"Action, Adventure, Comedy, Sci-Fi",Toei Animation,1,2015-04-01,Movie,66.0,AniList,2015.0
